id,careers,courses
570,Atmospheric and Space Scientists,5 Year Integrated Programme in Mathematics
571,Atmospheric and Space Scientists,BSc Mathematics
572,Atmospheric and Space Scientists,BSc in Mathematics
573,Bioinformatics Scientists,Bachelor of Science with Major in Biotechnology
574,Bioinformatics Scientists,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
575,Bioinformatics Scientists,Bachelor of Science Biotechnology (Hons)
576,Bioinformatics Scientists,Bachelor of Science in Biotechnology (Honours)
577,Bioinformatics Scientists,Bachelor of Science in Biotechnology (Honours) Self Financed
578,Bioinformatics Scientists,BSc Biotechnology
579,Bioinformatics Scientists,BSc in Biotechnology
580,Bioinformatics Scientists,Bachelor of Science with Major in Biochemistry
581,Bioinformatics Scientists,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
582,Bioinformatics Scientists,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
583,Bioinformatics Scientists,Bachelor of Science Bio-Chemistry (Hons)
584,Bioinformatics Scientists,Bachelor of Science Clinical Bio-Chemistry (Hons)
585,Bioinformatics Scientists,Bachelor of Science in Bio-Chemistry (Honours)
586,Bioinformatics Scientists,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
587,Bioinformatics Scientists,Bachelor of Science Biochemistry (Hons)
588,Bioinformatics Scientists,Bachelor of Science With Major in Computer Application
589,Bioinformatics Scientists,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
590,Bioinformatics Scientists,Bachelor of Computer Applications (Hons)
591,Bioinformatics Scientists,Bachelor of Computer Application (Hons)
592,Bioinformatics Scientists,Bachelor of Computer Applications (Honours)
593,Bioinformatics Scientists,Bachelor of Computer Applications (Honours) Self Financed
594,Bioinformatics Scientists,B.Sc Computer Applications
595,Bioinformatics Scientists,Bachelor of Computer Applications
596,Bioinformatics Scientists,Bachelor of Computer Applications Self Financed
597,Bioinformatics Scientists,Bachelor of Science With Major in Information Technology
598,Bioinformatics Scientists,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
599,Bioinformatics Scientists,Bachelor of Science Information Technology (Hons)
600,Bioinformatics Scientists,Bachelor of Science in Information Technology (Honours)
601,Bioinformatics Scientists,Bachelor of Science in Information Technology (Honours) Self Financed
602,Bioinformatics Scientists,Bachelor of Science With Major in Mathematics
603,Bioinformatics Scientists,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
604,Bioinformatics Scientists,Bachelor of Science Mathematics (Hons)
605,Bioinformatics Scientists,Bachelor of Arts/Science Mathematics (Hons)
606,Bioinformatics Scientists,Bachelor of Science in Mathematics (Honours)
607,Bioinformatics Scientists,Bachelor of Science in Mathematics (Honours) Self Financed
608,Bioinformatics Scientists,5 Year Integrated Programme in Mathematics
609,Bioinformatics Scientists,BSc Mathematics
610,Bioinformatics Scientists,BSc in Mathematics
611,Bioinformatics Scientists,Bachelor of Science With Major in Statistics
612,Bioinformatics Scientists,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
613,Bioinformatics Scientists,Bachelor of Science Statistics (Hons)
614,Bioinformatics Scientists,Bachelor of Arts/Science Statistics (Hons)
615,Biological Researchers,Bachelor of Science with Major in Biotechnology
616,Biological Researchers,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
617,Biological Researchers,Bachelor of Science Biotechnology (Hons)
618,Biological Researchers,Bachelor of Science in Biotechnology (Honours)
619,Biological Researchers,Bachelor of Science in Biotechnology (Honours) Self Financed
620,Biological Researchers,BSc Biotechnology
621,Biological Researchers,BSc in Biotechnology
622,Biological Researchers,Bachelor of Science with Major in Biochemistry
623,Biological Researchers,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
624,Biological Researchers,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
625,Biological Researchers,Bachelor of Science Bio-Chemistry (Hons)
626,Biological Researchers,Bachelor of Science Clinical Bio-Chemistry (Hons)
627,Biological Researchers,Bachelor of Science in Bio-Chemistry (Honours)
628,Biological Researchers,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
629,Biological Researchers,Bachelor of Science Biochemistry (Hons)
630,Biological Researchers,Bachelor of Science with Major in Botany
631,Biological Researchers,BACHELORS (HONOURS) WITH BOTANY AS MAJOR
632,Biological Researchers,Bachelor of Science Botany (Hons)
633,Biological Researchers,Bachelor of Science Botany (Honours)
634,Biological Researchers,Bachelor of Science Botany (Honours) Self Financed
635,Biological Researchers,Bachelor of Science in Botany (Integrated)
636,Biological Researchers,Bachelor of Science in Botany (Integrated) Self Financed
637,Biological Researchers,BSc Botany
638,Biological Researchers,BSc in Botany
639,Biological Researchers,Bachelor of Science With Major in Zoology
640,Biological Researchers,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR
641,Biological Researchers,Bachelor of Science Zoology (Hons)
642,Biological Researchers,Bachelor of Science in Zoology (Integrated)
643,Biological Researchers,Bachelor of Science in Zoology (Integrated) Self Financed
644,Biological Researchers,Bachelor of Science in Zoology (Honours)
645,Biological Researchers,Bachelor of Science in Zoology (Honours) Self Financed
646,Biological Researchers,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR
647,Biological Researchers,BSc Zoology
648,Biological Researchers,BSc in Zoology
649,Biological Researchers,BACHELORS (HONOURS) WITH BIO-RESOURCES AS MAJOR
650,Data and Research Analysts,Bachelor of Science With Major in Statistics
651,Data and Research Analysts,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
652,Data and Research Analysts,Bachelor of Science Statistics (Hons)
653,Data and Research Analysts,Bachelor of Arts/Science Statistics (Hons)
654,Data and Research Analysts,Bachelor of Science With Major in Mathematics
655,Data and Research Analysts,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
656,Data and Research Analysts,Bachelor of Science Mathematics (Hons)
657,Data and Research Analysts,Bachelor of Arts/Science Mathematics (Hons)
658,Data and Research Analysts,Bachelor of Science in Mathematics (Honours)
659,Data and Research Analysts,Bachelor of Science in Mathematics (Honours) Self Financed
660,Data and Research Analysts,5 Year Integrated Programme in Mathematics
661,Data and Research Analysts,BSc Mathematics
662,Data and Research Analysts,BSc in Mathematics
663,Data and Research Analysts,Bachelor of Social and Behavioral Science With Major in Economics
664,Data and Research Analysts,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
665,Data and Research Analysts,Bachelor of Arts Economics (Hons)
666,Data and Research Analysts,Bachelor of Arts in Economics (Honours)
667,Data and Research Analysts,Bachelor of Arts in Economics (Honours) Self Financed
668,Data and Research Analysts,BA Economics
669,Data and Research Analysts,Bachelor of Science With Major in Information Technology
670,Data and Research Analysts,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
671,Data and Research Analysts,Bachelor of Science Information Technology (Hons)
672,Data and Research Analysts,Bachelor of Science in Information Technology (Honours)
673,Data and Research Analysts,Bachelor of Science in Information Technology (Honours) Self Financed
674,Data and Research Analysts,Bachelor of Science With Major in Computer Application
675,Data and Research Analysts,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
676,Data and Research Analysts,Bachelor of Computer Applications (Hons)
677,Data and Research Analysts,Bachelor of Computer Application (Hons)
678,Data and Research Analysts,Bachelor of Computer Applications (Honours)
679,Data and Research Analysts,Bachelor of Computer Applications (Honours) Self Financed
680,Data and Research Analysts,B.Sc Computer Applications
681,Data and Research Analysts,Bachelor of Computer Applications
682,Data and Research Analysts,Bachelor of Computer Applications Self Financed
683,Data Scientists,Bachelor of Science With Major in Statistics
684,Data Scientists,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
685,Data Scientists,Bachelor of Science Statistics (Hons)
686,Data Scientists,Bachelor of Arts/Science Statistics (Hons)
687,Data Scientists,Bachelor of Science With Major in Mathematics
688,Data Scientists,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
689,Data Scientists,Bachelor of Science Mathematics (Hons)
690,Data Scientists,Bachelor of Arts/Science Mathematics (Hons)
691,Data Scientists,Bachelor of Science in Mathematics (Honours)
692,Data Scientists,Bachelor of Science in Mathematics (Honours) Self Financed
693,Data Scientists,5 Year Integrated Programme in Mathematics
694,Data Scientists,BSc Mathematics
695,Data Scientists,BSc in Mathematics
696,Data Scientists,Bachelor of Science With Major in Computer Application
697,Data Scientists,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR
698,Data Scientists,Bachelor of Computer Applications (Hons)
699,Data Scientists,Bachelor of Computer Application (Hons)
700,Data Scientists,Bachelor of Computer Applications (Honours)
701,Data Scientists,Bachelor of Computer Applications (Honours) Self Financed
702,Data Scientists,B.Sc Computer Applications
703,Data Scientists,Bachelor of Computer Applications
704,Data Scientists,Bachelor of Computer Applications Self Financed
705,Data Scientists,Bachelor of Science With Major in Information Technology
706,Data Scientists,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
707,Data Scientists,Bachelor of Science Information Technology (Hons)
708,Data Scientists,Bachelor of Science in Information Technology (Honours)
709,Data Scientists,Bachelor of Science in Information Technology (Honours) Self Financed
710,Data Scientists,Bachelor of Social and Behavioral Science With Major in Economics
711,Data Scientists,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
712,Data Scientists,Bachelor of Arts Economics (Hons)
713,Data Scientists,Bachelor of Arts in Economics (Honours)
714,Data Scientists,Bachelor of Arts in Economics (Honours) Self Financed
715,Data Scientists,BA Economics
716,Geneticists,Bachelor of Science with Major in Biotechnology
717,Geneticists,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
718,Geneticists,Bachelor of Science Biotechnology (Hons)
719,Geneticists,Bachelor of Science in Biotechnology (Honours)
720,Geneticists,Bachelor of Science in Biotechnology (Honours) Self Financed
721,Geneticists,BSc Biotechnology
722,Geneticists,BSc in Biotechnology
723,Geneticists,Bachelor of Science with Major in Biochemistry
724,Geneticists,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
725,Geneticists,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
726,Geneticists,Bachelor of Science Bio-Chemistry (Hons)
727,Geneticists,Bachelor of Science Clinical Bio-Chemistry (Hons)
728,Geneticists,Bachelor of Science in Bio-Chemistry (Honours)
729,Geneticists,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
730,Geneticists,Bachelor of Science Biochemistry (Hons)
731,Geographers,Bachelor of Science With Major in Geography
732,Geographers,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
733,Geographers,Bachelor of Arts/Science Geography (Hons)
734,Geographers,BSc Geography
735,Geographers,BSc in Geography
736,Geographers,Bachelor of Science With Major in Environmental Science
737,Geographers,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
738,Geographers,Bachelor of Science Environmental Science (Hons)
739,Historians,Bachelor of Social and Behavioural Science With Major in History
740,Historians,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
741,Historians,Bachelor of Arts History (Hons)
742,Historians,BA History
743,Historians,Bachelor of Science Anthropology (Hons)
744,Historians,Bachelor of Arts Anthropology (Hons)
745,Historians,BSc Anthropology
746,Historians,BACHELORS (HONOURS) WITH ANTHROPOLOGY AS MAJOR
747,Historians,Bachelor of Social and Behavioural Science With Major in Political Science
748,Historians,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
749,Historians,Bachelor of Arts Political Science (Hons)
750,Historians,BA Political Science
751,Mathematicians,Bachelor of Science With Major in Mathematics
752,Mathematicians,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
753,Mathematicians,Bachelor of Science Mathematics (Hons)
754,Mathematicians,Bachelor of Arts/Science Mathematics (Hons)
755,Mathematicians,Bachelor of Science in Mathematics (Honours)
756,Mathematicians,Bachelor of Science in Mathematics (Honours) Self Financed
757,Mathematicians,5 Year Integrated Programme in Mathematics
758,Mathematicians,BSc Mathematics
759,Mathematicians,BSc in Mathematics
760,Mathematicians,Bachelor of Science With Major in Statistics
761,Mathematicians,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
762,Mathematicians,Bachelor of Science Statistics (Hons)
763,Mathematicians,Bachelor of Arts/Science Statistics (Hons)
764,Medical Scientists,Bachelor of Science with Major in Biotechnology
765,Medical Scientists,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
766,Medical Scientists,Bachelor of Science Biotechnology (Hons)
767,Medical Scientists,Bachelor of Science in Biotechnology (Honours)
768,Medical Scientists,Bachelor of Science in Biotechnology (Honours) Self Financed
769,Medical Scientists,BSc Biotechnology
770,Medical Scientists,BSc in Biotechnology
771,Medical Scientists,Bachelor of Science with Major in Biochemistry
772,Medical Scientists,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
773,Medical Scientists,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
774,Medical Scientists,Bachelor of Science Bio-Chemistry (Hons)
775,Medical Scientists,Bachelor of Science Clinical Bio-Chemistry (Hons)
776,Medical Scientists,Bachelor of Science in Bio-Chemistry (Honours)
777,Medical Scientists,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
778,Medical Scientists,Bachelor of Science Biochemistry (Hons)
779,Medical Scientists,Bachelor of Science with Major in Botany
780,Medical Scientists,BACHELORS (HONOURS) WITH BOTANY AS MAJOR
781,Medical Scientists,Bachelor of Science Botany (Hons)
782,Medical Scientists,Bachelor of Science Botany (Honours)
783,Medical Scientists,Bachelor of Science Botany (Honours) Self Financed
784,Medical Scientists,Bachelor of Science in Botany (Integrated)
785,Medical Scientists,Bachelor of Science in Botany (Integrated) Self Financed
786,Medical Scientists,BSc Botany
787,Medical Scientists,BSc in Botany
788,Medical Scientists,Bachelor of Science With Major in Zoology
789,Medical Scientists,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR
790,Medical Scientists,Bachelor of Science Zoology (Hons)
791,Medical Scientists,Bachelor of Science in Zoology (Integrated)
792,Medical Scientists,Bachelor of Science in Zoology (Integrated) Self Financed
793,Medical Scientists,Bachelor of Science in Zoology (Honours)
794,Medical Scientists,Bachelor of Science in Zoology (Honours) Self Financed
795,Medical Scientists,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR
796,Medical Scientists,BSc Zoology
797,Medical Scientists,BSc in Zoology
798,Medical Scientists,BACHELORS (HONOURS) WITH BIO-RESOURCES AS MAJOR
799,Intelligence Analysts,Bachelor of Social and Behavioural Science With Major in Political Science
800,Intelligence Analysts,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
801,Intelligence Analysts,Bachelor of Arts Political Science (Hons)
802,Intelligence Analysts,BA Political Science
803,Intelligence Analysts,Bachelor of Social and Behavioral Science With Major in Economics
804,Intelligence Analysts,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
805,Intelligence Analysts,Bachelor of Arts Economics (Hons)
806,Intelligence Analysts,Bachelor of Arts in Economics (Honours)
807,Intelligence Analysts,Bachelor of Arts in Economics (Honours) Self Financed
808,Intelligence Analysts,BA Economics
809,Intelligence Analysts,Bachelor of Social and Behavioural Science With Major in Sociology
810,Intelligence Analysts,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
811,Intelligence Analysts,Bachelor of Arts Sociology (Hons)
812,Intelligence Analysts,BA Sociology
813,Intelligence Analysts,Bachelor of Social and Behavioural Science With Major in History
814,Intelligence Analysts,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
815,Intelligence Analysts,Bachelor of Arts History (Hons)
816,Intelligence Analysts,BA History
817,Intelligence Analysts,Bachelor of Science With Major in Information Technology
818,Intelligence Analysts,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR
819,Intelligence Analysts,Bachelor of Science Information Technology (Hons)
820,Intelligence Analysts,Bachelor of Science in Information Technology (Honours)
821,Intelligence Analysts,Bachelor of Science in Information Technology (Honours) Self Financed
822,Neuroscience Specialists,Bachelor of Science with Major in Biochemistry
823,Neuroscience Specialists,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
824,Neuroscience Specialists,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
825,Neuroscience Specialists,Bachelor of Science Bio-Chemistry (Hons)
826,Neuroscience Specialists,Bachelor of Science Clinical Bio-Chemistry (Hons)
827,Neuroscience Specialists,Bachelor of Science in Bio-Chemistry (Honours)
828,Neuroscience Specialists,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
829,Neuroscience Specialists,Bachelor of Science Biochemistry (Hons)
830,Neuroscience Specialists,Bachelor of Science with Major in Biotechnology
831,Neuroscience Specialists,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
832,Neuroscience Specialists,Bachelor of Science Biotechnology (Hons)
833,Neuroscience Specialists,Bachelor of Science in Biotechnology (Honours)
834,Neuroscience Specialists,Bachelor of Science in Biotechnology (Honours) Self Financed
835,Neuroscience Specialists,BSc Biotechnology
836,Neuroscience Specialists,BSc in Biotechnology
837,Physicists,Bachelor of Science With Major in Physics
838,Physicists,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
839,Physicists,Bachelor of Science Physics (Hons)
840,Physicists,Bachelor of Science in Physics (Honours)
841,Physicists,Bachelor of Science in Physics (Honours) Self Financed
842,Physicists,BSc Physics
843,Physicists,BSc in Physics
844,Physicists,Bachelor of Science With Major in Mathematics
845,Physicists,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
846,Physicists,Bachelor of Science Mathematics (Hons)
847,Physicists,Bachelor of Arts/Science Mathematics (Hons)
848,Physicists,Bachelor of Science in Mathematics (Honours)
849,Physicists,Bachelor of Science in Mathematics (Honours) Self Financed
850,Physicists,5 Year Integrated Programme in Mathematics
851,Physicists,BSc Mathematics
852,Physicists,BSc in Mathematics
853,Political Scientists,Bachelor of Social and Behavioural Science With Major in Political Science
854,Political Scientists,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
855,Political Scientists,Bachelor of Arts Political Science (Hons)
856,Political Scientists,BA Political Science
857,Political Scientists,Bachelor of Social and Behavioral Science With Major in Economics
858,Political Scientists,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
859,Political Scientists,Bachelor of Arts Economics (Hons)
860,Political Scientists,Bachelor of Arts in Economics (Honours)
861,Political Scientists,Bachelor of Arts in Economics (Honours) Self Financed
862,Political Scientists,BA Economics
863,Political Scientists,Bachelor of Social and Behavioural Science With Major in Sociology
864,Political Scientists,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
865,Political Scientists,Bachelor of Arts Sociology (Hons)
866,Political Scientists,BA Sociology
867,Political Scientists,Bachelor of Social and Behavioural Science With Major in History
868,Political Scientists,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
869,Political Scientists,Bachelor of Arts History (Hons)
870,Political Scientists,BA History
871,Sociologists,Bachelor of Social and Behavioural Science With Major in Sociology
872,Sociologists,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR
873,Sociologists,Bachelor of Arts Sociology (Hons)
874,Sociologists,BA Sociology
875,Sociologists,Bachelor of Science Anthropology (Hons)
876,Sociologists,Bachelor of Arts Anthropology (Hons)
877,Sociologists,BSc Anthropology
878,Sociologists,BACHELORS (HONOURS) WITH ANTHROPOLOGY AS MAJOR
879,Sociologists,Bachelor of Social and Behavioural Science With Major in Political Science
880,Sociologists,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
881,Sociologists,Bachelor of Arts Political Science (Hons)
882,Sociologists,BA Political Science
883,Sociologists,Bachelor of Social and Behavioural Science With Major in History
884,Sociologists,BACHELORS (HONOURS) WITH HISTORY AS MAJOR
885,Sociologists,Bachelor of Arts History (Hons)
886,Sociologists,BA History
887,Sustainability Specialists,Bachelor of Science With Major in Environmental Science
888,Sustainability Specialists,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
889,Sustainability Specialists,Bachelor of Science Environmental Science (Hons)
890,Sustainability Specialists,Bachelor of Science With Major in Geography
891,Sustainability Specialists,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
892,Sustainability Specialists,Bachelor of Arts/Science Geography (Hons)
893,Sustainability Specialists,BSc Geography
894,Sustainability Specialists,BSc in Geography
895,Sustainability Specialists,Bachelor of Science With Major in Geology
896,Sustainability Specialists,BACHELORS (HONOURS) WITH GEOLOGY AS MAJOR
897,Sustainability Specialists,Bachelor of Science Geology (Hons)
898,Sustainability Specialists,BSc in Geology
899,Sustainability Specialists,Bachelor of Science with Major in Botany
900,Sustainability Specialists,BACHELORS (HONOURS) WITH BOTANY AS MAJOR
901,Sustainability Specialists,Bachelor of Science Botany (Hons)
902,Sustainability Specialists,Bachelor of Science Botany (Honours)
903,Sustainability Specialists,Bachelor of Science Botany (Honours) Self Financed
904,Sustainability Specialists,Bachelor of Science in Botany (Integrated)
905,Sustainability Specialists,Bachelor of Science in Botany (Integrated) Self Financed
906,Sustainability Specialists,BSc Botany
907,Sustainability Specialists,BSc in Botany
908,Sustainability Specialists,Bachelor of Science With Major in Zoology
909,Sustainability Specialists,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR
910,Sustainability Specialists,Bachelor of Science Zoology (Hons)
911,Sustainability Specialists,Bachelor of Science in Zoology (Integrated)
912,Sustainability Specialists,Bachelor of Science in Zoology (Integrated) Self Financed
913,Sustainability Specialists,Bachelor of Science in Zoology (Honours)
914,Sustainability Specialists,Bachelor of Science in Zoology (Honours) Self Financed
915,Sustainability Specialists,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR
916,Sustainability Specialists,BSc Zoology
917,Sustainability Specialists,BSc in Zoology
918,Climate Change Policy Analysts,Bachelor of Science With Major in Environmental Science
919,Climate Change Policy Analysts,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
920,Climate Change Policy Analysts,Bachelor of Science Environmental Science (Hons)
921,Climate Change Policy Analysts,Bachelor of Science With Major in Geography
922,Climate Change Policy Analysts,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
923,Climate Change Policy Analysts,Bachelor of Arts/Science Geography (Hons)
924,Climate Change Policy Analysts,BSc Geography
925,Climate Change Policy Analysts,BSc in Geography
926,Climate Change Policy Analysts,Bachelor of Social and Behavioral Science With Major in Economics
927,Climate Change Policy Analysts,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
928,Climate Change Policy Analysts,Bachelor of Arts Economics (Hons)
929,Climate Change Policy Analysts,Bachelor of Arts in Economics (Honours)
930,Climate Change Policy Analysts,Bachelor of Arts in Economics (Honours) Self Financed
931,Climate Change Policy Analysts,BA Economics
932,Climate Change Policy Analysts,Bachelor of Social and Behavioural Science With Major in Political Science
933,Climate Change Policy Analysts,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR
934,Climate Change Policy Analysts,Bachelor of Arts Political Science (Hons)
935,Climate Change Policy Analysts,BA Political Science
936,Photonics Engineers,Bachelor of Science With Major in Physics
937,Photonics Engineers,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR
938,Photonics Engineers,Bachelor of Science Physics (Hons)
939,Photonics Engineers,Bachelor of Science in Physics (Honours)
940,Photonics Engineers,Bachelor of Science in Physics (Honours) Self Financed
941,Photonics Engineers,BSc Physics
942,Photonics Engineers,BSc in Physics
943,Photonics Engineers,Bachelor of Science With Major in Electronics
944,Photonics Engineers,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR
945,Photonics Engineers,Bachelor of Science in Electronics (Honours)
946,Photonics Engineers,Bachelor of Science in Electronics (Honours) Self Financed
947,Photonics Engineers,Bachelor of Science Electronics (Hons)
948,Photonics Engineers,BSc in Electronics
949,Photonics Engineers,Bachelor of Science With Major in Mathematics
950,Photonics Engineers,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
951,Photonics Engineers,Bachelor of Science Mathematics (Hons)
952,Photonics Engineers,Bachelor of Arts/Science Mathematics (Hons)
953,Photonics Engineers,Bachelor of Science in Mathematics (Honours)
954,Photonics Engineers,Bachelor of Science in Mathematics (Honours) Self Financed
955,Photonics Engineers,5 Year Integrated Programme in Mathematics
956,Photonics Engineers,BSc Mathematics
957,Photonics Engineers,BSc in Mathematics
958,Biostatisticians,Bachelor of Science With Major in Statistics
959,Biostatisticians,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
960,Biostatisticians,Bachelor of Science Statistics (Hons)
961,Biostatisticians,Bachelor of Arts/Science Statistics (Hons)
962,Biostatisticians,Bachelor of Science With Major in Mathematics
963,Biostatisticians,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
964,Biostatisticians,Bachelor of Science Mathematics (Hons)
965,Biostatisticians,Bachelor of Arts/Science Mathematics (Hons)
966,Biostatisticians,Bachelor of Science in Mathematics (Honours)
967,Biostatisticians,Bachelor of Science in Mathematics (Honours) Self Financed
968,Biostatisticians,5 Year Integrated Programme in Mathematics
969,Biostatisticians,BSc Mathematics
970,Biostatisticians,BSc in Mathematics
971,Biostatisticians,Bachelor of Science with Major in Biotechnology
972,Biostatisticians,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR
973,Biostatisticians,Bachelor of Science Biotechnology (Hons)
974,Biostatisticians,Bachelor of Science in Biotechnology (Honours)
975,Biostatisticians,Bachelor of Science in Biotechnology (Honours) Self Financed
976,Biostatisticians,BSc Biotechnology
977,Biostatisticians,BSc in Biotechnology
978,Biostatisticians,Bachelor of Science with Major in Biochemistry
979,Biostatisticians,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR
980,Biostatisticians,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR
981,Biostatisticians,Bachelor of Science Bio-Chemistry (Hons)
982,Biostatisticians,Bachelor of Science Clinical Bio-Chemistry (Hons)
983,Biostatisticians,Bachelor of Science in Bio-Chemistry (Honours)
984,Biostatisticians,Bachelor of Science in Bio-Chemistry (Honours) Self Financed
985,Biostatisticians,Bachelor of Science Biochemistry (Hons)
986,Geoscientists,Bachelor of Science With Major in Geology
987,Geoscientists,BACHELORS (HONOURS) WITH GEOLOGY AS MAJOR
988,Geoscientists,Bachelor of Science Geology (Hons)
989,Geoscientists,BSc in Geology
990,Geoscientists,Bachelor of Science With Major in Environmental Science
991,Geoscientists,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR
992,Geoscientists,Bachelor of Science Environmental Science (Hons)
993,Geoscientists,Bachelor of Science With Major in Geography
994,Geoscientists,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR
995,Geoscientists,Bachelor of Arts/Science Geography (Hons)
996,Geoscientists,BSc Geography
997,Geoscientists,BSc in Geography
998,Economists,Bachelor of Social and Behavioral Science With Major in Economics
999,Economists,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR
1000,Economists,Bachelor of Arts Economics (Hons)
1001,Economists,Bachelor of Arts in Economics (Honours)
1002,Economists,Bachelor of Arts in Economics (Honours) Self Financed
1003,Economists,BA Economics
1004,Economists,Bachelor of Science With Major in Statistics
1005,Economists,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR
1006,Economists,Bachelor of Science Statistics (Hons)
1007,Economists,Bachelor of Arts/Science Statistics (Hons)
1008,Economists,Bachelor of Science With Major in Mathematics
1009,Economists,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR
1010,Economists,Bachelor of Science Mathematics (Hons)
