id,Courses,roadmap_id,stream
189,BACHELORS (HONOURS) WITH SPOKEN PERSIAN AS MAJOR,1,Arts
190,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR,2,Science
191,BACHELORS (HONOURS) WITH TOURISM AND TRAVEL MANAGEMENT AS MAJOR,5,Arts
192,BACHELORS (HONOURS) WITH URDU LITERATURE AS MAJOR,1,Arts
193,BACHELORS (HONOURS) WITH WATER MANAGEMENT AS MAJOR,2,Arts
194,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR,2,Science
195,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR,2,Science
196,BSc Anthropology,1,Science
197,BSc Biotechnology,2,Science
198,BSc Botany,2,Science
199,BSc Chemistry,2,Science
200,BSc Geography,1,Science
201,BSc Home Science,5,Science
202,BSc in Biotechnology,2,Science
203,BSc in Botany,2,Science
204,BSc in Chemistry,2,Science
205,BSc in Electronics,4,Science
206,BSc in Geography,1,Science
207,BSc in Geology,2,Science
208,BSc in Mathematics,2,Science
209,BSc in Physics,2,Science
210,BSc in Zoology,2,Science
211,BSc Mathematics,2,Science
212,BSc Physics,2,Science
213,BSc Zoology,2,Science
214,Design Your Degree,6,Arts
215,Design Your Degree (DYD),6,Arts
